"HolderAddress","Balance","PendingBalanceUpdate"
"0xc3121c4ca7402922e025e62e9bb4d5b244303878","2,037,547.528816210896956454","No"
"0xf977814e90da44bfa03b6295a0616a897441acec","1,122,968.382","No"
"0x43684d03d81d3a4c70da68febdd61029d426f042","659,831.6144679","No"
"0x5a52e96bacdabb82fd05763e25335261b270efcb","300,000","No"
"0x8894e0a0c962cb723c1976a4421c95949be2d4e3","100,075.884764117610702511","No"
"0x329a6e063c97ddb251ae3972c8e6797adc847961","80,542.336022994903760096","No"
"0x18e226459ccf0eec276514a4fd3b226d8961e4d1","74,947.522731","No"
"0x3a476cf731afab2ac4822a5b79f65151d13219af","60,520","No"
"0xc08af33970c15aa6bd2a802c1d8546efe3506d33","55,423.896245683422155272","No"
"0xecc90d54b10add1ab746abe7e83abe178b72aa9e","48,156.295935645302216106","No"
"0x54842893f216b0aa28bdbc82775b05b8901c31e6","38,306.73553","No"
"0xe2fc31f816a9b94326492132018c3aecc4a93ae1","22,318.73449516","No"
"0x047ce83bae76a69416a3a17401605265b661c8db","17,401.88015","No"
"0x87ab6b135ba56893cacbb36067cda456759d0ab8","17,001.4202","No"
"0xda39b7e764a1c8ae2acab21c56db4822953823f9","14,999.986","No"
"0xbb0825f23bf4114e46bfe372f228b9d0e7da48e0","14,994.79688","No"
"0xc241e8fb314bc3799be2db94dce4d070c29b425d","14,547.041664362572452256","No"
"0x431a3d5df78ef3e05138fdcf54f8d6333605fcd4","14,512.95646648","No"
"0x12db793a113b43e23f0b1961024efbdfc53e328d","12,246.79228225","No"
"0x6b6d4fe71622c74afd42187968be211d09b02f31","11,988.27274","No"
"0x570b41f417483df6935e3bb4fab166a95435c393","11,827.00381448","No"
"0x387d505a7f71d00e9d8a430ac69c5088f82ab239","11,287.181252014178053763","No"
"0xb0cd1dff28634765336b3aa30ae9113467595efc","10,000","No"
"0xa14cf730c6bc216d8adcd802565497c0e58e3278","10,000","No"
"0x7cf88f160318a802846e2856b5ca990dff867060","10,000","No"
"0xd97107064b8c7520aae6c6e6ca75bb2aa73b670d","9,824.2970747114","No"
"0xf2f3b0e1a1965db3a5cf5c99459ade7321b4d289","9,766.29662951","No"
"0x4923b7a1b9dcfa631030615bb324dd00e64e2591","9,582.54773","No"
"0xa8e3d67e68c86d2ed684bb9a2eb84ba2b30abb9d","7,836.55575823","No"
"0xd994a2c011b93989d90bca4a206c1bb5b4e86b96","7,823.3170517","No"
"0x838d15d5a47b76754098a7792412a1e894f2b759","7,573.310798915603620497","No"
"0xf65e3546abe8ecc029b4526a083dd29d4c3b723a","7,318.677660199901785363","No"
"0x8a0f6d048d509625cdeba009ca20290bbf482305","7,224.9793","No"
"0xa6bf06200361009491bad8c57410c9ded24c2444","7,213.9751","No"
"0x2b3bf74b29f59fb8dda41cf3d6a8da28cf8e7921","7,194.9893802786","No"
"0x6f907bc91cac5ebbfee975aa01f2ab184ee7b71f","6,824.18237197","No"
"0x7dbb223ceaaac2dccea3489a39330c60d9a3cba4","6,779.608796837119770457","No"
"0xe197f452cab3ba2bebd0ab359a4a0d2a6327bd22","6,629.39746","No"
"0x8678f58ac6c4748b5289d0db70e627eef395dead","6,451.385762","No"
"0x20e4fd31a7a0b70e28ac5b58086385b937ca0cf2","6,442.03126","No"
"0x01ec10cc930d80d591b63062873ac8b9bf674a0b","6,014.45212","No"
"0x26c88eeb5c5d9e79c5852cde8dd7f3980fa2d587","5,989.12507348","No"
"0x6b061bf10994be7f726bb1ada7522e381a3a82d9","5,856.0149","No"
"0x1e1c4cc7fb3e1e0c7546dcc9a7af6dfcb7db9b35","5,828.96494","No"
"0x2e621846879a44ca37437f002c561fc9b0155649","5,769.34208113","No"
"0x09690e22e8ab3ad6280dfb7c399040a7f0f145e9","5,704.38737226","No"
