"HolderAddress","Balance","PendingBalanceUpdate"
"0x8f6449530606a9efddac42e05612427ddeba449c","105,935,088.37202644","No"
"0x744dbc48d11415ec5cb2f78609dea5e1e738da24","69,549,761.899958","No"
"0xc2f31575b97df563a3bba2a94e3a0b317ba2d412","34,875,607.596714432664683457","No"
"0x1f903473376fbe98cc763f1bc459c8fdb6ac3909","30,000,000","No"
"0x637ca60dfb4d3acbd2ba65aaed9c6ca564bbf7bf","28,290,281.427233782608695653","No"
"0xda8b6eb4e31a387577c0e20c00c8f7e31cbc18bc","25,354,223.63","No"
"0x6e0e32684df6e3ae415ab1146a305bfd03e42427","22,500,000","No"
"0x806f68bb6ce8f3100d4745c8b13b36e4f40d8431","22,500,000","No"
"0x921949cc006a563d76abd111a3e4c2ace2c4273f","21,622,958.144157256924735314","No"
"0x53326cfb6ec33f18ccb0e23828a133bc6805390c","20,524,733.15","No"
"0x72afaa442b98f71b8bba9937f95be764ab9f97d1","19,729,000","No"
"0x7be1125e9284ee108850a19f362b111526737cfd","16,666,666","No"
"0x3425bd866c5d0cbacb1fe011e604789456a28f88","15,212,526.3","No"
"0xd59ef7fe057d42c3ea6c8ffe9be618ec1d1f42e2","11,559,316.946916744525547445","No"
"0x7c8aae256203a2ada50676470bb5e2ead1f0e705","11,526,360.71292","No"
"0xf977814e90da44bfa03b6295a0616a897441acec","10,448,142.401","No"
"0x29e5dd2187168f77b68f9e38b0de7ff3d797f9e3","10,000,000","No"
"0x17ba3d0fe1f4f2380b0b12a4831a926feaca2717","10,000,000","No"
"0x7026b038a643e737f10c175a026c7aaae556dd53","8,771,929.82","No"
"0x0d9ec65e6d4b2f266f6ebc09201f3fd8106af4d2","8,600,000","No"
"0xde131676312eb2ac1cb69caae8ae25cf26bb6630","8,562,515","No"
"0xe8e2bd8f4fe4c95f81193380c798862b038165a4","8,550,000","No"
"0x9072eec56365fdbb7d91bb8d1db2fbebc2aa090a","8,550,000","No"
"0xab1b7a1b117b96c01d5e831b11036a2b12b93ee6","8,550,000","No"
"0xb212d42f29efa5087bfa7dfc0549e46b9589e7f8","8,550,000","No"
"0x135befa85fcc8201714f41ead0e9902a6b3df710","8,550,000","No"
"0x30089e08d67c3528917bc0b1353dbfd31214f774","8,550,000","No"
"0xf0ce21d5926bbcbf8f16aeba6248bb6e7d30a6c3","8,550,000","No"
"0xf8b81c26782dff6c79b82a65363b23580558f137","8,550,000","No"
"0x031b398db0f877dbeb4bc5892d1b256b80785583","8,550,000","No"
"0x7e98a4643cefcbe3ddb639afad95c22513c97ad0","8,550,000","No"
"0xcf749f5dc82881d52fa49729b49ce3993d10adde","8,550,000","No"
"0x27976059c6725917391afe43a8ec1c46875216fd","7,973,395","No"
